ID,Year_Birth,Marital_Status,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds
5524,1957,Single,635,88,546,172,88,88
2174,1954,Single,11,1,6,2,1,6
4141,1965,Together,426,49,127,111,21,42
6182,1984,Together,11,4,20,10,3,5
5324,1981,Married,173,43,118,46,27,15
7446,1967,Together,520,42,98,0,42,14
965,1971,Divorced,235,65,164,50,49,27
6177,1985,Married,76,10,56,3,1,23
4855,1974,Together,14,0,24,3,3,2
5899,1950,Together,28,0,6,1,1,13
1994,1983,Married,5,5,6,0,2,1
387,1976,Married,6,16,11,11,1,16
2125,1959,Divorced,194,61,480,225,112,30
8180,1952,Divorced,233,2,53,3,5,14
2569,1987,Married,3,14,17,6,1,5
2114,1946,Single,1006,22,115,59,68,45
9736,1980,Married,53,5,19,2,13,4
4939,1946,Together,84,5,38,150,12,28
6565,1949,Married,1012,80,498,0,16,176
2278,1985,Single,4,17,19,30,24,39
9360,1982,Married,86,2,73,69,38,48
5376,1979,Married,1,1,1725,1,1,1
1993,1949,Married,867,0,86,0,0,19
4047,1954,Married,384,0,102,21,32,5
1409,1951,Together,270,3,27,39,6,99
7892,1969,Single,6,4,25,15,12,13
2404,1976,Married,173,4,30,3,6,41
5255,1986,Single,5,1,3,3,263,362
9422,1989,Married,36,2,42,20,21,10
1966,1965,Married,684,100,801,21,66,0
6864,1989,Divorced,8,4,10,2,2,4
3033,1963,Together,112,17,44,34,22,89
5710,1970,Together,110,0,5,2,0,3
7373,1952,Divorced,96,12,96,33,22,43
8755,1946,Married,482,34,471,119,68,22
10738,1951,Single,40,0,19,2,1,3
4339,1970,Married,702,17,151,0,8,35
10755,1976,Married,6,3,14,15,7,36
8595,1973,Widow,55,0,6,2,0,4
2968,1943,Divorced,437,8,206,160,49,42
8601,1980,Married,421,76,536,82,178,102
503,1985,Married,13,1,29,3,0,7
8430,1957,Together,9,0,6,3,1,3
7281,1959,Single,81,11,50,3,2,39
2139,1975,Married,3,1,10,3,2,12
1371,1976,Single,123,164,266,227,30,174
9909,1996,Married,3,18,14,15,22,50
7286,1968,Together,13,6,15,3,5,13
7244,1951,Single,48,5,48,6,10,7
6566,1954,Married,826,50,317,50,38,38
8614,1957,Widow,245,19,125,37,67,14
4114,1964,Married,650,37,780,27,167,32
1331,1977,Single,12,6,20,30,1,3
2225,1977,Divorced,510,120,550,156,40,241
9381,1978,Married,328,9,124,12,24,109
6260,1955,Together,984,51,432,180,120,190
10383,1966,Divorced,295,35,482,121,120,40
7437,1988,Single,13,0,8,2,1,5
8557,1982,Single,11,3,22,2,2,6
8375,1968,Married,447,0,28,0,0,43
6853,1982,Single,712,26,538,69,13,80
3076,1975,Together,452,18,102,16,18,6
1012,1952,Single,523,7,134,37,14,169
6518,1951,Widow,546,0,48,0,6,6
4137,1948,Together,398,40,367,119,122,30
8082,1971,Married,1,3,6,3,6,15
1386,1967,Together,10,0,1,0,0,0
9369,1979,Single,688,14,309,201,24,38
4477,1958,Together,247,49,159,7,82,109
1357,1970,Together,856,59,487,58,29,73
1402,1954,Married,496,36,460,189,60,12
10629,1973,Married,25,3,43,17,4,17
6312,1959,Married,258,107,291,84,37,86
8132,1975,Married,565,6,65,0,6,19
1050,1952,Married,14,10,13,4,15,9
5846,1977,Divorced,2,1,6,2,1,1
1859,1972,Married,721,111,925,97,18,18
7503,1976,Single,1032,105,779,137,105,51
10401,1976,Together,1,0,5,0,3,9
1618,1965,Together,577,0,64,0,0,51
3332,1985,Single,64,4,68,7,5,17
2261,1969,Married,4,1,5,2,0,4
5346,1973,Married,25,5,19,7,0,23
4119,1963,Together,112,17,44,34,22,89
535,1987,Divorced,163,23,424,27,65,76
5268,1960,Married,17,8,14,10,4,3
273,1970,Married,130,0,16,0,0,5
4452,1957,Single,292,6,37,0,3,34
8504,1973,Married,350,60,568,110,133,145
771,1967,Together,135,9,39,4,0,7
8996,1957,Married,230,42,192,49,37,53
9235,1957,Single,7,0,8,2,0,1
5798,1973,Together,445,37,359,98,28,18
11178,1972,Single,15,2,10,0,1,4
2230,1970,Married,27,2,14,0,0,0
7516,1983,Married,5,3,11,12,5,9
7247,1960,Widow,505,0,26,0,0,75
11100,1972,Divorced,51,2,7,0,1,2
4646,1951,Married,207,26,447,75,0,223
3037,1983,Married,135,46,92,65,61,11
1473,1960,Single,53,1,5,2,1,10
1016,1959,Single,41,1,6,2,0,5
4518,1979,Together,386,172,183,185,132,111
9370,1945,Married,562,81,276,80,40,81
8908,1959,Married,217,76,690,50,26,38
8373,1979,Together,1,3,6,10,0,9
7533,1964,Married,144,1,32,2,1,7
2683,1969,Married,295,106,271,75,98,65
3629,1978,Single,76,3,31,4,4,27
10991,1960,Married,454,194,106,31,22,43
5077,1979,Together,425,115,292,23,35,79
7431,1991,Single,1332,17,311,23,51,86
3267,1963,Together,527,0,21,0,0,60
999,1991,Single,490,44,125,29,20,22
9215,1980,Married,378,0,101,0,0,72
2286,1962,Single,64,1,21,0,1,27
1592,1970,Married,547,99,812,151,82,33
367,1978,Married,47,90,94,123,103,120
5234,1967,Together,12,5,25,0,9,30
9862,1969,Together,1,6,7,11,5,3
9805,1953,Together,320,48,133,39,72,48
6205,1967,Single,34,3,29,0,4,10
8442,1985,Married,9,0,7,3,4,7
7386,1976,Divorced,17,0,14,7,3,2
7215,1983,Single,722,27,102,44,72,168
1491,1965,Together,162,33,124,40,28,172
11071,1984,Single,450,133,951,173,0,216
3381,1953,Married,70,0,16,0,0,4
8268,1961,Married,352,0,27,10,0,15
11051,1956,Together,492,19,110,16,12,12
8026,1952,Married,120,58,73,65,89,58
433,1958,Alone,534,5,47,0,5,41
9597,1969,Married,236,106,189,23,41,130
1295,1963,Married,231,65,196,38,71,124
5290,1964,Married,220,0,33,3,0,23
1685,1967,Together,796,14,590,38,44,0
5342,1976,Divorced,0,1,3,10,6,9
9579,1959,Married,53,1,34,2,0,16
7660,1973,Alone,15,0,8,4,2,20
1461,1965,Divorced,17,1,12,3,1,4
821,1992,Single,962,61,921,52,61,20
11084,1976,Together,738,0,232,13,20,50
8690,1962,Married,399,28,756,36,40,126
2937,1974,Single,614,16,132,43,33,33
9701,1988,Together,32,34,41,73,16,116
9949,1976,Married,598,16,141,32,41,49
10837,1975,Married,2,1,18,20,11,16
3120,1981,Together,6,1,10,0,1,4
5885,1973,Married,73,3,90,12,1,32
4050,1966,Married,42,16,29,12,20,8
3830,1953,Married,295,21,78,39,13,13
7987,1969,Married,346,17,48,23,13,13
7798,1972,Together,233,20,57,8,20,91
92,1988,Alone,5,7,24,19,14,20
7055,1952,Together,888,0,57,0,0,76
10240,1949,Together,997,26,269,34,13,42
3025,1958,Single,212,6,69,4,12,3
9283,1978,Single,8,1,7,2,0,0
9970,1977,Together,42,11,57,10,28,14
2730,1955,Single,536,11,387,149,91,57
2795,1958,Single,5,0,3,0,0,5
9260,1945,Married,1349,16,249,43,16,33
8182,1984,Married,53,3,49,7,4,5
10095,1975,Divorced,1001,12,240,16,12,12
8475,1973,Married,20,2,1582,1,2,1
4370,1966,Together,18,1,32,6,3,28
10573,1953,Divorced,125,16,98,134,21,27
3712,1959,Divorced,212,5,33,7,0,2
6637,1988,Single,277,162,305,173,76,124
3152,1957,Together,15,10,19,8,17,20
5610,1965,Together,7,3,10,8,1,7
6460,1982,Married,12,4,6,11,8,16
1349,1970,Married,85,7,24,2,3,27
1880,1959,Together,81,0,6,0,0,6
641,1967,Single,59,0,12,0,0,48
8717,1975,Married,1149,71,449,69,71,26
10314,1948,Married,847,66,119,86,89,111
10854,1970,Married,29,0,14,0,0,2
10492,1959,Together,2,0,5,2,0,1
6935,1951,Married,207,26,447,75,0,223
7698,1976,Married,152,3,22,2,5,7
3559,1988,Married,12,11,10,3,12,9
10562,1946,Married,620,26,195,34,17,141
10796,1984,Married,47,1,6,0,0,12
2563,1961,Married,1,9,7,2,14,10
3518,1983,Married,10,1,18,10,4,7
5823,1970,Single,35,0,2,0,0,2
3934,1966,Married,356,0,107,19,9,117
6982,1976,Married,783,30,537,140,76,15
6431,1964,Married,42,1,18,3,0,4
9733,1978,Together,1,4,10,29,0,36
5602,1989,Together,466,22,432,147,113,102
7829,1900,Divorced,15,6,8,7,4,25
1324,1988,Married,23,3,21,3,19,22
326,1973,Married,235,6,45,8,9,12
7224,1977,Married,10,0,10,3,1,7
6999,1980,Married,656,16,106,32,16,8
9938,1954,Married,519,17,813,27,173,51
6422,1954,Married,344,189,482,50,33,172
3182,1973,Single,96,1,79,7,1,79
7300,1952,Divorced,448,4,34,6,4,39
10424,1968,Single,265,138,553,224,23,92
8727,1978,Divorced,587,43,337,42,87,54
2798,1977,Together,763,29,138,76,176,58
1030,1965,Single,22,0,13,0,0,3
624,1984,Single,6,4,1,7,2,15
5176,1988,Together,7,6,13,7,6,14
5552,1963,Divorced,81,18,113,47,13,21
868,1966,Married,54,0,7,0,0,4
380,1954,Divorced,1170,48,320,42,32,192
2677,1956,Together,72,24,68,65,4,8
6521,1954,Together,613,22,319,33,102,12
6927,1968,Married,224,0,30,0,0,10
2877,1974,Together,410,0,59,19,9,44
0,1985,Married,239,10,554,254,87,54
1584,1977,Married,171,7,171,25,19,89
7264,1978,Single,12,0,4,0,0,1
6274,1948,Married,1076,16,417,42,48,16
1377,1954,Widow,182,4,33,0,0,66
454,1980,Together,824,32,162,42,32,43
1755,1988,Together,30,11,25,29,1,18
2075,1969,Married,377,10,540,80,30,10
4785,1970,Together,520,7,154,19,0,14
9076,1980,Married,155,1,25,0,1,3
7079,1962,Divorced,897,23,207,15,11,92
4653,1978,Together,131,0,16,2,1,39
7375,1976,Together,297,7,79,0,11,182
709,1952,Divorced,787,20,204,0,0,92
460,1972,Married,792,86,740,67,51,17
3726,1986,Together,4,1,9,3,0,0
6798,1966,Single,231,7,137,4,15,39
5341,1962,Divorced,983,76,184,180,138,27
1606,1971,Together,3,1,8,4,3,3
9617,1951,Single,0,4,5,6,0,4
3233,1965,Married,562,21,464,28,10,32
89,1975,Married,5,9,20,6,8,21
2936,1982,Together,18,0,4,0,0,1
9449,1958,Single,415,5,124,15,35,11
7297,1973,Single,5,3,10,12,7,20
11004,1893,Single,8,0,5,7,0,2
313,1968,Widow,901,61,757,186,163,20
9940,1958,Together,382,114,276,75,124,38
10735,1971,Single,14,1,7,2,1,1
9529,1990,Married,559,153,503,218,13,181
6439,1958,Married,789,0,133,0,28,152
7411,1964,Married,11,0,5,0,0,1
2176,1972,Married,1218,16,272,104,0,80
9265,1953,Married,925,64,179,133,12,77
8867,1988,Married,864,134,768,150,38,172
8932,1969,Together,960,28,183,220,70,70
10236,1975,Single,16,3,25,6,1,13
6340,1985,Single,3,3,7,0,2,11
10089,1974,Divorced,168,148,444,32,172,148
2227,1958,Together,45,47,52,21,20,25
10992,1967,Together,650,28,353,45,42,30
5304,1974,Single,24,0,8,0,0,1
309,1961,Together,918,21,118,13,10,21
3406,1964,Single,138,33,87,28,24,12
2661,1964,Single,12,4,2,10,6,10
3153,1957,Single,11,0,4,0,0,2
10264,1979,Divorced,1,2,8,4,3,13
1184,1968,Divorced,554,41,215,11,0,24
4200,1970,Married,167,2,62,24,13,7
9396,1978,Married,9,0,6,4,1,5
2387,1952,Together,177,2,71,3,2,20
6690,1966,Married,38,4,22,4,2,20
1225,1963,Married,483,84,398,205,84,241
9703,1970,Married,77,2,35,0,1,69
291,1970,Married,182,74,298,162,149,116
4557,1970,Together,10,7,19,8,2,21
2379,1953,Single,778,44,499,95,73,146
5726,1983,Single,16,7,23,0,8,6
3066,1975,Together,167,0,43,6,2,13
6336,1960,Married,13,2,14,8,7,4
10967,1963,Divorced,33,6,40,3,7,10
2304,1963,Together,625,7,99,10,22,7
3445,1956,Single,216,162,224,101,92,162
7828,1981,Together,68,129,396,188,22,15
3762,1986,Single,196,0,512,33,130,54
4391,1968,Divorced,635,15,100,20,7,131
4669,1981,Married,4,19,9,28,25,17
10144,1976,Together,297,7,79,0,11,182
8652,1946,Together,84,5,38,150,12,28
1672,1974,Together,204,7,149,20,15,66
8962,1975,Married,26,0,8,0,0,3
9974,1974,Married,15,6,20,4,5,20
10983,1952,Together,304,98,230,150,74,74
8148,1956,Together,285,28,242,55,114,135
10102,1966,Widow,395,183,565,166,141,28
4697,1949,Divorced,248,3,81,4,3,51
9262,1984,Together,20,6,5,0,9,12
7254,1969,Together,39,0,56,20,8,14
4543,1980,Married,777,129,573,216,21,203
4927,1971,Together,8,3,22,21,1,13
10451,1965,Together,9,1,3,0,4,8
2926,1952,Together,1241,0,80,0,13,40
2874,1988,Divorced,6,4,7,4,3,8
9738,1986,Together,65,4,16,0,4,11
7119,1982,Single,395,15,263,60,54,38
3924,1965,Divorced,801,0,80,0,0,35
5827,1958,Divorced,36,0,12,2,2,10
5596,1956,Together,513,14,154,19,0,28
10812,1978,Married,37,0,46,4,3,0
1717,1988,Single,80,15,93,20,13,52
9491,1984,Together,14,1,21,2,3,25
9274,1961,Married,525,147,112,219,147,63
6609,1966,Widow,1,26,25,17,23,15
6963,1947,Single,675,11,400,15,45,11
4440,1964,Married,509,0,27,0,0,10
1379,1992,Together,154,2,46,20,4,15
10032,1976,Divorced,3,5,14,2,12,17
2826,1967,Married,25,0,8,2,0,2
2437,1989,Married,861,138,461,60,30,61
6320,1976,Single,768,44,561,77,44,14
3050,1966,Married,185,0,28,3,2,17
231,1956,Together,24,0,7,0,0,1
2392,1972,Married,44,4,21,6,0,27
9478,1985,Single,91,64,128,65,3,50
113,1951,Married,11,0,7,3,1,6
2863,1970,Single,738,20,172,52,50,20
1802,1971,Married,412,5,119,38,29,77
520,1974,Married,3,3,7,6,2,9
8275,1965,Divorced,16,0,3,0,0,1
9750,1961,Divorced,731,60,353,78,12,73
2607,1953,Single,424,17,118,7,23,41
7214,1957,Married,792,0,275,45,45,126
5835,1976,Divorced,21,2,28,3,2,9
3896,1984,Married,22,1,11,0,1,2
10350,1950,Married,33,0,5,0,0,0
7786,1986,Single,68,7,59,10,5,11
2861,1983,Single,9,1,6,3,0,4
663,1989,Single,40,2,15,8,0,6
10675,1956,Married,909,11,218,0,0,23
2521,1971,Married,23,1,13,2,2,18
9592,1983,Together,11,2,9,3,0,8
10151,1960,Divorced,317,46,247,151,46,139
7381,1968,Divorced,797,153,293,72,97,30
4099,1972,Married,10,2,16,11,2,21
9560,1965,Together,856,61,570,40,25,122
1150,1899,Together,755,144,562,104,64,224
10172,1988,Single,456,19,832,75,118,38
11191,1986,Divorced,37,32,38,11,3,18
9707,1969,Married,1103,0,45,0,0,34
6245,1950,Together,378,14,68,19,14,14
8234,1973,Together,1,6,7,0,1,3
1411,1952,Divorced,204,34,204,172,153,173
8553,1965,Married,30,0,9,0,0,3
1826,1970,Divorced,189,104,379,111,189,218
8842,1971,Widow,15,0,12,7,3,7
11030,1976,Married,9,0,3,0,0,4
2579,1957,Married,495,33,255,11,33,8
175,1986,Married,656,80,455,52,107,93
9185,1966,Single,452,20,514,13,30,0
11056,1974,Married,546,91,410,119,0,22
9365,1976,Single,1048,0,217,0,0,12
6201,1978,Single,22,2,14,0,1,10
2061,1955,Married,78,0,11,0,0,10
6184,1969,Married,561,64,785,84,128,48
6142,1943,Married,629,17,177,69,0,8
4107,1948,Together,269,15,69,15,19,38
7274,1957,Married,736,163,818,212,163,61
9336,1969,Widow,512,0,83,0,0,41
2958,1978,Married,19,3,10,11,8,6
933,1978,Married,9,0,6,4,1,5
5837,1967,Married,247,8,160,6,8,65
10704,1969,Single,404,0,92,28,27,142
5125,1960,Married,333,0,815,129,42,29
4432,1976,Divorced,2,3,20,6,11,9
5955,1962,Together,833,33,549,151,133,233
2928,1975,Single,789,0,142,12,9,38
5680,1984,Married,10,4,7,0,6,3
10313,1975,Married,159,4,45,6,2,38
2557,1970,Single,7,1,6,3,1,11
1245,1966,Single,977,12,253,16,12,101
1519,1972,Single,38,4,22,3,3,3
10703,1975,Single,57,0,27,0,0,36
1726,1970,Single,3,9,15,13,2,39
4459,1989,Single,10,4,14,4,4,1
1729,1961,Together,1043,24,97,32,24,157
1517,1969,Single,3,9,13,2,12,12
2098,1969,Married,11,0,5,0,0,1
9543,1985,Married,3,6,5,0,2,6
6878,1954,Widow,43,12,96,78,40,55
3310,1973,Married,73,3,90,12,1,32
2724,1981,Single,12,0,1,0,0,6
948,1971,Single,4,7,7,6,4,13
6720,1968,Together,314,11,53,4,3,107
6202,1960,Together,571,50,142,33,50,159
2066,1949,Together,70,0,11,2,8,23
9799,1968,Divorced,866,21,151,28,21,86
8318,1979,Together,594,134,786,33,134,57
5642,1979,Together,140,4,61,0,13,4
2669,1993,Single,375,152,335,93,91,81
455,1946,Married,102,9,63,2,9,24
7683,1968,Married,554,35,113,0,7,78
3428,1991,Together,919,0,505,99,30,45
7414,1971,Married,96,1,42,12,3,32
6354,1984,Together,5,2,16,3,2,19
798,1987,Single,2,0,6,8,6,5
8213,1980,Together,6,4,9,6,36,35
2488,1956,Divorced,23,1,25,0,8,7
9999,1965,Together,610,105,125,137,42,21
7617,1974,Single,67,5,61,3,8,19
615,1960,Together,65,36,74,38,20,110
2552,1955,Single,416,0,26,0,0,4
194,1965,Married,23,0,11,3,2,2
3645,1972,Single,19,3,26,10,9,3
8890,1971,Divorced,155,7,80,13,7,10
5049,1974,Together,14,0,24,3,3,2
9973,1963,Married,370,9,92,6,9,4
7301,1982,Single,4,22,11,3,7,32
10882,1976,Married,407,53,221,58,150,26
7030,1955,Married,1200,0,204,38,29,14
7422,1987,Single,85,44,54,102,78,6
3523,1962,Together,583,34,309,0,22,125
7106,1943,Married,483,0,591,156,0,12
6504,1975,Together,2,5,9,28,6,28
5067,1994,Together,966,26,282,52,26,26
4216,1981,Single,822,114,108,179,137,114
8581,1971,Married,604,0,100,19,0,28
5929,1973,Married,19,3,19,3,1,3
3129,1983,Married,5,3,11,12,5,9
6528,1982,Together,2,2,2,2,1,1
1361,1974,Married,1076,68,103,29,91,68
6932,1941,Married,1285,42,716,55,0,21
7284,1953,Married,10,0,7,2,0,1
1340,1986,Married,551,137,792,179,103,33
8746,1989,Married,800,0,297,0,34,57
5987,1989,Together,2,2,11,10,6,12
3767,1968,Married,378,0,189,97,172,172
3725,1961,Single,1248,16,349,43,16,16
4324,1989,Married,235,0,235,19,4,191
238,1967,Together,515,47,181,149,95,95
6694,1964,Married,438,66,400,12,38,114
498,1970,Single,25,0,22,2,3,5
9347,1956,Together,31,0,7,2,0,6
9699,1966,Divorced,357,35,271,28,28,14
10664,1949,Widow,400,4,35,6,0,22
5455,1971,Married,99,0,15,2,1,5
456,1986,Married,1,11,5,4,6,9
5012,1989,Married,5,4,13,8,0,4
7495,1948,Married,77,28,31,16,0,4
5029,1946,Married,3,1,2,4,3,1
10642,1989,Single,10,4,14,4,4,1
2106,1974,Married,0,6,3,7,6,12
10364,1959,Divorced,0,0,1,2,12,5
5954,1972,Divorced,76,14,74,13,5,10
1137,1964,Single,398,190,537,61,156,37
2541,1976,Married,14,7,11,11,0,5
1142,1953,Married,208,7,82,30,66,35
2276,1955,Single,430,16,322,43,24,33
2807,1969,Married,656,38,161,62,47,37
6471,1971,Single,14,2,30,8,2,3
6131,1980,Married,141,70,106,72,19,23
6233,1976,Married,507,19,364,25,47,9
4148,1972,Married,164,24,103,12,3,42
4947,1966,Single,606,24,974,197,194,64
3225,1984,Married,116,11,72,3,17,46
7540,1952,Married,143,15,60,24,23,5
10648,1982,Together,398,96,447,220,96,32
1992,1964,Married,522,0,257,32,16,66
7851,1949,Widow,161,0,253,199,191,122
8594,1958,Widow,112,0,6,2,1,14
7059,1963,Married,483,84,398,205,84,241
2815,1975,Married,7,5,39,17,15,37
2416,1969,Single,789,25,420,16,38,0
7999,1955,Together,1239,17,413,23,34,17
9213,1970,Widow,4,1,5,2,0,3
9697,1951,Married,335,42,127,28,5,5
3916,1971,Together,639,8,166,11,8,58
2021,1975,Married,563,76,384,84,192,89
1581,1980,Married,2,0,8,2,2,3
564,1981,Together,746,8,125,11,8,8
6619,1978,Married,22,1,13,4,0,4
9081,1988,Single,4,1,6,4,1,9
178,1956,Married,478,0,193,110,75,117
916,1972,Single,20,3,4,2,0,2
5512,1977,Married,451,0,39,0,4,24
8970,1972,Married,371,22,39,6,0,92
10581,1977,Married,281,7,84,15,0,119
5300,1973,Married,19,7,19,0,1,24
5154,1972,Divorced,26,3,13,2,10,0
8346,1974,Single,138,15,35,25,11,72
1676,1975,Married,213,2,44,0,2,5
9286,1960,Together,407,28,100,120,74,18
2426,1964,Divorced,483,74,114,169,37,18
5172,1976,Together,738,0,232,13,20,50
5562,1974,Married,502,12,109,16,6,90
3436,1969,Married,11,0,5,2,1,1
3921,1952,Widow,24,1,108,29,29,14
3403,1958,Together,1170,19,594,99,76,134
22,1976,Divorced,185,2,88,15,5,14
10965,1955,Together,983,20,389,240,50,40
9426,1964,Single,691,0,69,10,0,130
6605,1944,Divorced,504,13,131,8,0,26
3136,1962,Divorced,317,25,265,25,19,12
8737,1978,Divorced,29,1,9,2,0,2
11088,1971,Together,1396,0,322,46,35,17
716,1949,Together,529,0,356,63,28,0
466,1944,Married,388,14,218,91,14,21
9135,1950,Together,13,2,21,4,0,24
10623,1961,Together,28,0,4,0,0,0
8151,1990,Married,16,36,21,20,62,108
5140,1985,Married,1047,0,140,67,38,153
10160,1956,Together,31,0,7,2,0,6
4945,1953,Widow,815,10,239,28,10,108
10584,1976,Married,225,162,387,106,36,29
6071,1989,Single,493,70,324,146,40,84
3386,1992,Married,34,4,66,3,10,20
8939,1959,Divorced,382,138,65,60,26,59
9925,1981,Together,127,1,56,0,1,31
4320,1979,Single,325,83,300,86,58,91
5389,1964,Married,238,17,68,8,10,6
6036,1959,Together,1168,92,408,72,129,55
182,1946,Together,284,0,55,0,6,52
203,1975,Single,1288,20,613,80,61,27
11025,1961,Married,65,0,46,4,3,20
10203,1990,Single,11,7,9,3,1,11
4607,1959,Together,227,23,389,42,21,75
3711,1944,Married,1035,134,670,25,38,0
3696,1965,Divorced,27,1,12,2,0,10
2532,1987,Single,982,73,351,56,14,175
9214,1991,Married,179,2,64,38,17,58
4943,1953,Married,1379,33,216,0,33,66
35,1987,Married,32,1,64,16,12,85
2258,1986,Married,8,4,15,7,6,2
4322,1958,Together,881,38,319,16,25,12
713,1977,Married,141,15,153,67,31,35
4702,1964,Single,1000,155,379,224,17,120
3281,1960,Married,206,10,67,30,27,71
702,1975,Widow,162,61,83,97,57,61
2004,1969,Single,619,54,260,127,54,54
4769,1977,Together,456,4,24,0,0,9
4437,1962,Married,112,6,92,3,9,38
8724,1982,Single,11,3,22,2,2,6
10741,1951,Together,172,12,112,8,0,15
1991,1967,Together,78,0,11,0,0,7
6931,1967,Divorced,464,151,292,65,60,30
11096,1952,Together,99,4,32,37,54,6
304,1981,Single,19,3,19,4,5,26
3665,1977,Together,1,9,8,11,3,22
10591,1969,Widow,63,10,83,7,19,19
5036,1984,Single,252,3,42,4,3,102
5547,1982,Married,1478,19,403,0,19,0
7822,1976,Together,198,18,252,32,108,54
8541,1990,Married,8,4,10,6,7,6
10955,1964,Widow,416,46,925,60,107,46
4368,1980,Married,42,7,43,20,12,10
9671,1968,Married,14,3,21,2,1,28
2256,1973,Married,17,0,3,0,0,1
4279,1963,Single,15,4,10,3,4,18
5371,1989,Single,6,16,24,11,0,34
9240,1971,Single,458,0,24,6,4,34
9460,1963,Married,30,3,47,19,21,42
9504,1949,Married,179,28,520,111,123,47
8692,1952,Together,90,17,97,15,6,15
448,1978,Single,308,85,137,102,45,118
8314,1982,Married,557,129,761,29,185,111
8420,1970,Married,7,4,13,15,8,17
3174,1959,Together,1492,38,287,50,57,33
